index,mz,RT,ionMode,adduct,MS1mz,MS1int,MS2mz,MS2int
1,193.0706,1.76,P,[M+H]+,193.0706;194.0739;195.0773,76494968;6118918;1217659,70.0655;72.081;83.0493;84.07;85.0285;87.0079;93.0335;95.0491;97.0285;101.0597;103.0389;105.0334;105.0447;111.044;113.0596;115.0389;121.0284;129.0546;136.0618;136.0715;137.0661;139.0389;146.0601;146.0812;147.0653;147.0846;148.0754;157.0496;175.0507;175.0776;176.1076;183.4343;192.0879,2908;4234;351229;2599;74284;34269;111820;568544;25319;18799;3284;11301;3630;645223;3198;13260;64543;467024;101029;5772;44761;193352;5323;15055;132792;13715;3983;65352;16958;2920;3767;3246;116678
2,183.1379,9.85,P,[M+H]+,183.1379;184.1412;185.1446,3016534;579256;96602,71.0494;72.0812;72.9374;79.0544;81.07;83.0492;83.0857;85.0283;85.0648;90.9476;91.0542;93.0699;95.0491;95.0856;97.0647;98.9839;99.0804;101.9497;105.0699;107.0854;109.0648;109.1013;111.0805;113.0594;113.9638;118.9673;119.0856;119.9602;121.1012;121.1084;123.0806;123.1168;125.0966;127.0755;131.9741;132.9589;137.0501;137.0597;137.0962;137.1324;137.9711;139.1118;141.0912;141.958;141.9834;145.0297;147.0342;147.1168;155.0699;155.0863;159.9691;160.9873;163.0387;165.0436;165.0911;165.1275;168.093;183.0654;183.0813;183.1012;183.1169,19965;1361;6750;24101;235819;14814;38349;1975;19598;1385;59396;29781;59183;69500;7362;1378;6931;11087;77581;29753;64699;14920;6088;10822;27862;8085;30609;6607;76504;1096;42700;418333;1865;1822;14216;1534;1908;11490;10828;24192;13468;10212;1508;1797;1195;1461;1347;155631;9808;1098;4913;1520;1466;11699;6366;70454;1397;1451;2006;12575;8764
3,256.0812,1.43,P,[M+H]+,256.0814;257.0847;258.0881,3079007;438951;0,70.0655;71.0131;73.0288;76.0969;80.0496;82.0653;84.081;85.0285;86.0965;87.0441;90.5489;96.0443;97.0286;103.0391;114.0551;115.0391;124.0394;133.0496;140.107;155.0818;166.086;181.061;190.0486;226.0713;228.1025;233.0154;238.108;251.0244;256.0297;256.0795;256.1169;256.1551;256.2636,948;5557;25573;686;5000;1215;3199;26870;1340;7083;769;4379;10639;5269;1819;20496;867329;33538;1227;9293;915;943;1472;1957;1432;1115;1192;1260;1733;6408;8052;5263;5175
4,223.0965,10.35,P,[M+H]+,223.0965;224.0998;225.1032,1392306;260166;0,71.0496;74.9751;79.0544;81.0337;81.07;81.8014;83.0494;83.0857;85.065;89.0386;91.0542;92.0577;93.0699;95.0491;95.0856;97.023;97.0649;103.0544;105.07;106.0283;107.0493;107.0854;109.0651;109.1013;109.4267;111.0443;111.0803;113.0596;117.0335;117.07;119.0491;119.0855;120.0527;121.0648;121.1012;123.0805;123.1169;125.0599;126.3442;129.056;131.0859;133.1012;133.1472;134.0362;135.044;135.0552;135.0808;135.1169;136.0478;137.0964;139.1123;143.0726;145.0285;145.1011;147.117;149.0602;149.096;152.0774;153.0551;156.0621;159.1168;162.0306;163.0392;163.112;163.1481;164.0429;165.0673;165.0905;165.1276;165.5691;169.1047;171.7237;174.0732;175.0885;177.0547;177.1275;179.0835;179.1258;184.0933;185.1003;186.055;187.112;187.1482;191.1016;191.6019;195.0655;200.1066;205.1222;205.1587;223.0615;223.0946;223.1121;223.1317;223.1517;223.1696,592;927;5560;7918;9718;602;2442;1092;995;10353;6189;932;6631;5868;8419;4263;910;917;3608;779;3116;5862;1312;5210;649;1358;773;891;34830;3040;2994;4575;2557;2941;5071;8124;959;1068;680;751;4024;1469;673;3038;6501;850;2647;3896;2801;1016;656;2458;124151;3150;2863;17455;3059;902;1026;2775;3178;716;10838;3515;867;739;3012;787;1407;665;830;650;1485;1008;218835;3990;683;3164;779;582;1476;2495;857;2971;687;1049;1444;2931;1166;1446;4241;5981;5768;989;2455
5,256.129,2.3,P,[M+H]+,256.129;257.1323;258.1357,2093504;286700;194023,70.0654;71.0603;73.0284;81.0448;82.0651;83.0605;84.0809;85.0286;86.0601;87.0441;95.6954;96.0441;97.0012;97.0761;98.0597;99.0917;100.0396;102.055;109.0398;109.076;111.0917;113.0233;113.964;114.055;119.0188;121.0181;121.0645;123.055;124.0393;124.0588;126.0548;127.0502;127.0866;133.0489;135.008;137.0712;142.0349;142.0865;143.0812;148.0752;155.0815;166.0981;186.0757;209.7784;210.0767;210.1238;212.1392;215.0526;228.1343;256.1294,6229;807;766;10039;2711;56992;1262;1559;35239;1425;715;710;662;39425;793;16055;1151;4922;5609;16656;7441;3177;746;180181;3045;644;629;1368;21964;2835;1231;63756;33667;814;869;3156;3591;895;791;1271;530304;868;6295;599;846;4252;1204;3003;1140;146891
6,219.1744,12.53,P,[M+H]+,219.1743;220.1777;221.181,2389393;457838;0,71.5162;79.0544;81.07;83.0854;86.1281;91.0544;93.0698;95.0493;95.0855;97.0649;105.07;107.0491;107.0855;109.0642;109.1013;116.9851;117.0698;119.0486;119.0855;120.5206;120.9984;121.0647;121.1011;123.0804;129.0697;131.0857;133.1012;135.0807;135.1167;137.0959;145.1008;146.1091;147.1169;149.0973;149.1327;151.9482;152.7144;159.117;161.0961;161.1327;163.1117;163.1484;173.1327;177.1274;179.1435;190.2251;200.5362;201.1638;203.1432;219.1746,737;6767;6223;1352;944;8702;10698;2000;7792;1307;8730;3928;10657;1010;2059;948;5035;839;13736;924;1350;4204;13187;5495;1419;9778;11143;10682;10373;1129;10012;1608;1174;1573;4148;969;1011;6315;1225;8572;22795;1292;5115;4686;1272;1068;914;8190;21154;371533
7,166.0862,3.78,P,[M+H]+,166.0862;167.0896;168.0929,57638700;6106490;365618,77.0388;79.0543;91.0543;93.0698;95.049;102.0466;103.0542;107.049;118.0651;120.0807;121.0844;126.1375;131.0491;131.9532;149.0599;166.0498;166.0863,32233;202758;182991;439828;158347;16231;2422519;650168;36876;35039292;17939;16078;992737;18162;203259;165598;597795
8,349.2375,9.37,P,[M+H]+,349.2375;350.2408;351.2442,6898650;1884703;57250,71.0495;74.4757;75.0443;77.0389;79.0544;79.5216;81.0337;81.07;83.0493;83.0857;83.5097;84.0806;85.0285;85.0648;91.0542;93.0699;95.0492;95.0855;95.0913;97.0285;97.0648;97.1012;99.0802;103.0547;105.0699;107.049;107.0855;109.0648;109.1011;111.044;111.0804;113.0609;113.0961;115.0539;117.0697;119.0491;119.0855;121.0649;121.1012;123.08;123.117;125.0962;128.0621;129.07;130.0773;131.0855;133.0655;133.1012;135.0804;135.1166;137.0605;137.0961;139.0751;139.9547;141.0696;142.0778;143.0855;144.0931;145.0642;145.1012;147.0439;147.0808;147.1168;149.0961;149.1326;151.1116;155.0858;157.1014;159.0808;159.1169;161.0961;161.1326;163.0387;163.1118;165.1271;169.101;171.1163;173.0964;173.1325;175.112;175.1483;177.1279;178.5207;179.1436;181.1222;183.117;185.1322;187.112;187.1479;189.1119;189.1275;191.142;195.1172;197.1326;199.1483;201.1278;201.1644;211.1483;213.1636;215.1436;215.1803;219.1749;227.1814;229.1947;233.1922;238.9875;239.1796;247.2055;257.1897;262.2166;275.2001;293.2118;331.2266;331.274;349.1648;349.1986,10005;1736;2543;1679;104337;1896;9887;147676;20963;24102;1679;3101;1888;4341;115140;105752;26845;84599;4154;1993;77654;15553;3077;2374;139648;23011;109099;38667;44721;2345;9874;1947;3555;3652;54884;2465;114405;12888;46121;16090;10194;16727;2835;20589;2858;82988;2604;119085;16918;35626;2219;10658;2845;1956;12382;2841;27336;3242;4429;155178;14934;9790;80516;71707;15855;11144;14035;30499;3528;86817;8637;33734;3823;37879;2888;20491;33816;8592;48607;12161;5095;15797;2101;16914;2534;24188;12190;11158;12846;4649;4931;2264;2769;21203;3354;4012;2580;9192;7905;4528;8500;3579;2256;26252;2894;2075;50727;13006;120513;4968;142124;2656;7661;2150;6889;52235
9,355.1023,8.74,P,[M+H]+,355.1024;356.1058;357.1091,31646832;6959855;1233997,79.0544;81.0329;83.0493;85.0286;89.033;89.0386;93.0333;95.049;107.0491;111.044;114.0911;117.0335;135.0334;135.0441;145.0284;163.0391;166.5807;176.1709;179.8343;181.0497;198.3834;211.0808;277.5034;326.3049;337.0927;355.1725,52552;10273;55584;12301;15948;396968;18266;41917;155247;45801;11858;578735;12716;1353602;1524921;13677125;11529;10173;11089;39812;15742;11512;11507;10623;18570;144164
10,245.0767,2.22,P,[M+H]+,245.0766;246.0799;247.0833,664982;82010;0,70.029;70.0655;73.0287;84.0446;84.0809;85.0285;86.0966;96.0081;96.2937;97.0286;108.4408;113.0345;115.039;116.9859;120.2452;133.0492;133.1012;149.9606;154.8899;168.0653;177.0073;181.425;198.9924;202.0017;217.0123;245.0081;245.0985,2796;3929;2593;1184;2034;2697;904;3154;594;1164;544;89528;1038;843;556;2971;639;636;668;1152;661;547;712;560;807;1012;4047
11,217.1434,12.43,P,[M+H]+,217.1434;218.1468;219.1502,4103973;455932;162180,71.4375;74.8916;79.0544;81.07;83.0856;91.0542;93.0698;95.0493;95.0856;97.1012;99.0805;105.0698;107.0855;109.101;111.0807;115.0535;117.0699;119.0856;121.1011;125.0962;128.0616;129.07;131.0854;133.1011;135.0803;135.1169;143.0857;143.1063;145.1012;147.1171;153.091;157.1014;159.1172;161.0959;161.133;171.1019;171.1167;171.1379;173.1328;175.1481;199.148;217.1045;217.1221;217.1428;217.1609,1044;1157;17422;14781;29713;39139;15133;1626;9246;67886;2106;33123;35761;3027;3024;1700;32682;21092;7446;65074;1451;9395;35140;13459;28877;2088;15628;1635;7038;6203;15325;14527;2236;1368;2008;2940;2547;3106;2929;2198;18360;14152;2573;14666;32070
12,297.2426,12.93,P,[M+H]+,297.2418;298.2452;299.2485,1414768;308758;0,71.0494;71.0857;74.9639;79.0544;81.07;83.0493;83.0856;85.065;91.0541;93.07;95.049;95.0855;97.0647;97.1012;99.0803;102.3224;105.0701;105.4002;107.049;107.0855;107.0928;109.0652;109.1012;111.0804;111.1168;113.0963;117.0702;119.0855;121.101;123.0806;123.1167;125.0962;131.0855;133.0642;133.101;135.0804;135.1167;137.0963;137.132;139.0763;143.0856;145.1013;147.1171;149.0961;149.1326;151.1117;151.1481;153.0916;153.1278;155.1067;157.1016;159.1169;161.1327;163.1121;163.1484;165.1277;167.1438;169.1226;171.1015;173.1187;173.1328;175.1482;177.1285;177.1642;183.1384;187.1485;189.1117;192.4149;193.1591;199.1492;205.1586;209.1535;213.1653;215.1803;221.1901;223.1484;223.1695;233.2234;243.2102;251.2013;251.2375;261.2206;279.2318;297.1271;297.1823;297.2471,944;5935;536;14579;32358;2719;13104;3008;5448;13395;3810;32081;4950;19890;6137;655;5137;636;810;18621;717;1288;19974;4071;1244;1165;2542;6315;9134;3095;6703;10766;4703;2624;5832;2776;15518;791;5587;691;813;2875;8387;1003;4753;1578;1444;1075;5317;1084;1224;3663;1447;993;2608;923;737;777;853;1291;5117;1166;794;1232;4262;3139;7626;852;842;880;725;1054;841;693;650;1080;1067;723;7086;717;837;11601;33422;631;2532;4869
13,139.0388,1.76,P,[M+H]+,139.0388;140.0422;141.0455,40266616;3488794;260822,71.0129;74.2778;77.0388;78.0342;81.0337;83.0128;83.0492;93.0334;93.0699;94.0652;95.0491;95.0681;99.389;105.0445;111.044;111.0636;111.1723;121.0284;121.0648;122.068;131.1598;138.055;139.0392;139.0584;139.1227,5245;3885;46478;5987;4994;22277;774484;522819;5864;6587;2233098;30570;4363;59023;429310;18432;3636;618945;15512;38521;4325;4004;377094;482356;4457
14,309.2781,15.9,P,[M+H]+,309.2781;310.2815;311.2848,405973;78095;8507,71.0858;75.7224;79.0544;81.07;83.0494;83.0857;84.9599;91.0542;93.0698;95.0856;97.0649;97.1013;105.0697;107.0856;107.9932;108.5;109.1012;111.0805;111.117;119.0854;121.1013;123.1168;125.1325;133.1014;135.1169;137.096;137.1321;137.9707;147.1162;149.1325;151.1476;153.1273;161.1324;163.148;175.1487;179.1437;189.1637;214.8449;245.2261;263.2369;309.1322,1397;598;1463;12339;811;9290;1473;2793;3830;14033;1452;7410;5215;3507;665;619;8620;1380;2793;3688;5702;2750;1177;5105;3561;872;915;1302;5348;4643;716;970;3036;2516;2184;731;1249;631;12277;9880;813
15,337.2732,11.58,P,[M+H]+,337.2732;338.2765;339.2799,5197190;1670774;188274,71.0494;71.086;72.7074;73.0288;73.0646;79.0544;80.3159;81.0336;81.07;83.0493;83.0856;83.0906;85.0648;85.1013;91.0542;93.0699;95.0492;95.0855;97.0648;97.1012;97.1064;99.0805;101.0601;105.0442;105.0699;107.0492;107.0855;109.065;109.1012;111.0805;111.1168;112.1633;113.0598;113.0959;115.0751;117.0552;117.0699;119.0855;121.0648;121.1012;123.0437;123.0804;123.1082;123.1168;125.0598;125.096;127.076;129.0545;129.0697;131.0855;132.6799;133.0644;133.1012;135.0803;135.1167;137.096;137.1325;139.0755;139.1115;141.0702;143.0854;145.101;147.0804;147.1168;149.0963;149.1217;149.1325;149.1437;151.0752;151.1118;151.1484;153.1273;155.0862;157.1007;159.1171;161.0962;161.1325;161.6363;163.1117;163.1479;165.0907;165.1276;165.1639;167.1428;169.1012;171.1165;173.0967;173.1325;175.1114;175.1479;177.0911;177.1276;177.1638;179.1425;179.1797;183.1172;185.1318;187.1114;189.1642;193.1582;199.1471;201.1277;203.179;207.1742;209.1331;217.1588;217.1943;221.1536;227.1796;235.1689;237.1644;245.1883;245.2263;247.1707;255.1733;263.203;263.2365;273.1845;291.1958;319.2264;319.261;337.1982;337.2331,7800;10113;1239;1450;1154;79064;1172;5687;313939;15480;99250;3250;11053;3168;57645;103819;17165;301051;24948;61483;1451;16317;1580;1709;49078;11255;71720;28232;154534;18926;14439;1309;11015;5562;1480;1757;11315;48461;6192;64728;2001;17206;2906;72251;1752;9803;1538;8971;6996;19341;1293;2552;63075;12906;46347;19364;18180;2372;6296;1560;7005;17753;8811;32279;11154;2042;34630;2641;1394;13688;11209;2975;2315;9642;14931;13088;26211;1350;7509;23342;2972;2968;6004;2371;1599;9032;1964;5259;7130;21325;1614;6511;6239;3368;3115;2308;4723;5083;6165;2057;2167;2556;2018;2516;2102;11169;2734;2586;3105;2495;2972;5939;34648;1852;5895;2192;56471;35049;25580;17986;2896;38010;28416
16,417.3364,11.69,P,[M+H]+,417.3364;418.3397;419.3431,5420498;1788758;152199,73.0651;79.0543;81.0701;83.0493;83.0859;91.0542;91.0585;93.0698;95.0494;95.0855;97.0648;97.0953;97.1013;99.065;99.0806;104.9925;105.0699;107.0855;109.0649;109.1011;111.0809;115.0753;117.0698;118.9716;119.0854;120.9872;121.1012;123.0806;123.117;125.0961;127.1118;131.008;131.0854;133.1012;135.0805;135.1168;137.0955;143.0857;145.1011;147.1168;149.0956;149.1327;150.067;151.0753;151.1117;154.9462;155.0091;156.9872;157.1009;159.1169;161.1325;163.0386;163.1116;163.1482;165.1271;171.1165;173.1178;173.1323;174.9979;175.1113;175.149;178.9931;185.1326;187.1481;189.1637;195.1169;199.1484;201.1648;203.1796;207.002;213.1644;215.1796;218.9873;225.0137;227.1788;231.2253;236.9981;241.362;255.0079;255.2105;263.0285;273.2209;274.2228;285.2569;307.0173;381.0191;399.03;399.3258;416.3528;417.0394;417.2182,11665;14150;24014;3808;5475;12177;777;18009;3983;27771;16732;863;3804;874;2166;1371;35361;38636;3978;18789;1104;20148;1948;36749;23374;3663;27976;4133;8684;43178;4704;8791;10730;26900;1313;23660;969;1427;31842;58322;1579;12435;961;4618;6374;1066;1570;2037;3727;49235;358235;1031;16611;3826;1959;5390;1235;31762;5467;1261;7176;1337;10318;5159;4191;1148;15136;1171;1093;1326;8441;5616;8267;10989;5222;987;5488;1107;1366;181348;4711;540598;1117;8610;6042;10659;7059;6039;5108;2120;3571
17,279.2316,12.91,P,[M+H]+,279.2315;280.2348;281.2382,2542280;603824;0,71.0494;71.0859;79.0544;79.6858;81.0337;81.07;83.0491;83.0856;85.0284;85.0649;85.1014;88.3702;91.0541;92.1136;93.0699;95.0492;95.0855;95.3064;95.7952;97.065;97.1013;99.0439;99.0805;100.642;105.07;107.0494;107.0855;109.0648;109.1012;111.0806;111.117;113.0599;113.096;117.0701;119.0856;121.0652;121.1011;123.0804;123.1168;125.0962;127.0753;131.0857;133.0646;133.1012;135.0805;135.1168;137.0963;137.1326;139.1123;145.1011;147.1168;149.0237;149.0967;149.1325;151.1125;151.1482;153.0913;153.1276;155.1068;157.1013;159.117;161.1329;163.1117;163.1483;165.1272;167.1058;170.2074;171.1165;173.1322;175.1486;177.1277;177.1636;181.1229;181.159;183.1376;187.1488;191.1431;191.1797;195.1182;195.138;209.1534;215.1802;217.1975;219.0575;221.1896;223.1489;223.1692;233.191;233.226;243.2104;261.2212;279.0936;279.1217;279.1566,3261;10079;17892;613;1050;96547;4891;9005;701;3326;1046;607;10958;785;29688;14028;85592;634;583;6484;4620;730;8479;576;9688;845;22726;5156;39243;3267;948;732;1444;4494;10639;1050;18008;3928;17972;1433;663;10848;6209;8767;4760;20454;1548;13254;1361;8349;10851;6969;3205;9374;3383;4388;1095;4724;947;1606;7774;4050;4806;1417;4857;755;644;822;7708;894;4821;1106;1094;738;770;4829;1335;1313;1110;3717;1646;4409;805;9084;2743;1098;1569;1594;2646;5414;9944;16697;1792;5974
18,181.1222,12.03,P,[M+H]+,181.1222;182.1256;183.129,6826992;1596196;282085,71.0494;77.039;79.0545;81.0333;81.07;81.383;83.0493;83.0857;85.0649;87.5369;91.0543;93.07;95.0492;95.0856;97.0648;103.0542;105.07;107.0489;107.0856;109.0649;109.1012;111.0441;111.0805;113.0598;116.972;117.0698;119.0853;121.0649;121.073;121.1013;122.0727;123.0805;125.0598;125.0962;127.0756;130.0778;133.1012;135.0805;135.1168;137.0963;137.1325;138.0675;139.0753;139.1123;139.988;143.0855;145.1012;148.0881;153.1273;158.1198;163.039;163.1119;181.0869;181.1224,3409;2252;56452;2939;79795;2267;142465;10063;40862;2078;65915;209872;45409;166480;92041;2421;78505;15583;319810;62304;36488;1114636;65727;36555;42174;38365;27884;58125;2751;47332;23260;57530;455912;12253;30904;32046;2447;254537;230493;5000;4606;14768;33977;2537;5385;10232;242886;3670;53250;2373;2934;225063;7858;328468
19,317.065,8.68,P,[M+H]+,317.065;318.0684;319.0717,9623138;2252447;0,71.0491;79.0543;80.026;81.0336;81.0701;85.0283;91.0543;92.0256;93.0334;93.0696;95.0493;95.0852;97.0286;105.0703;109.0284;109.1012;117.0694;121.0285;123.1179;126.0306;127.0388;131.4117;133.1006;137.0236;137.0602;139.0392;145.0277;151.0387;153.0182;153.0306;161.0958;163.0382;165.0184;177.0543;183.0289;200.0471;201.0553;203.0339;217.0492;218.0574;228.0416;229.0496;231.0279;243.0653;245.0433;246.0523;256.0358;257.044;260.0313;261.0758;271.0601;273.0389;274.0174;274.0467;284.0309;285.0387;288.0629;299.1019;302.0415;317.0652,2454;4724;2505;5625;4307;6012;2828;16579;21676;3358;4658;2474;3263;3067;3851;3625;2769;20991;2606;6083;3037;2693;2829;5088;3990;30563;2909;21385;184540;6295;2982;6132;21240;3870;3438;3077;25796;6204;14659;11717;34974;92463;12846;3825;18533;51087;4380;88348;5257;6014;4912;43200;4187;116856;13329;142589;5441;4063;379321;2169292
